# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang			Espa�ol
dialog_worldstatus_time_remain_hms			Tiempo Restante : *Hh *Mm *Ss
# H = Hours, M = Minutes, S = Seconds
dialog_worldstatus_time_remain_ms			Tiempo Restante : *Mm *Ss
# M = Minutes, S = Seconds
dialog_worldstatus_show_stats			Mostrar Estad�sticas
dialog_worldstatus_scoremode			Modo
dialog_worldstatus_cpu_team_name			[CPU]*T
# T = Team Name
dialog_worldstatus_left_team_name			[ABANDON�]*T
# T = Team Name
dialog_worldstatus_demo_team_name			[DEMO]*T
# T = Team Name
dialog_worldstatus_out_of_sync			No Sincronizado
dialog_worldstatus_out_of_sync_2			no sincronizado
dialog_worldstatus_spectator_join			Espectador (uni�ndose...)
dialog_worldstatus_superpower			Jugador
dialog_worldstatus_kills			Muertos
dialog_worldstatus_deaths			Bajas
dialog_worldstatus_survivors			Supervivientes
dialog_worldstatus_collateral			Colaterales
dialog_worldstatus_nukes			Bombas
dialog_worldstatus_score			Puntuaci�n
dialog_worldstatus_points_value			Valor en Puntos:
dialog_worldstatus_pop_in_millions			*P mill.
# P = Population in millions
dialog_worldstatus_classified			[clasificado]
dialog_stats			Estad�sticas

dialog_casualties_city			Ciudad
dialog_casualties_strikes			Ataques
dialog_casualties_deaths			Muertes
dialog_casualties_in_million			*C Millones
# C = Casualties in Million

dialog_network_title                Red
dialog_network_server_seqid			Id. Sec. Servidor  *S
# S = Server sequence
dialog_network_server_send			Servidor Env�a    *R Kb/seg
# R = Send Rate
dialog_network_server_receive			Servidor Recibe    *R Kb/seg
# R = Receive Rate
dialog_network_id			ID
dialog_network_ip_port			IP:Puerto
dialog_network_seqid			Id. Sec.
dialog_network_seqid_number			Id. Sec. *S
# S = Sequence Id
dialog_network_name			Nombre
dialog_network_status			Estado
dialog_network_lost_con			Con. Perdida...*Ss
# S = Number of seconds since the connection was lost
dialog_network_synching			Sincronizando...*P
# P = Percentage done Synching
dialog_network_ping			Ping *Pms
# M = Ping time in miniseconds
dialog_network_spec			(especificaciones)
dialog_network_empty			Vac�o
dialog_network_sequence_msg_queue			Mensajes de secuencia en cola. Lo ideal es que haya 0 � 1 completados, sin huecos.
dialog_network_svr_known_seqid			Id. Sec. Conocido del Servidor *S
# S = Sequence Id
dialog_network_svr_estimated_seqid			Id. Sec. Estimado del Servidor *S
# S = Sequence Id
dialog_network_estimated_latency			Latencia Estimada : *L seg
# L = Estimated Latency
dialog_network_client_seqid			ID. SEC. Cliente   *S
# S = Sequence Id
dialog_network_client_send			Cliente Env�a     *R Kb/seg
# R = Send Rate
dialog_network_client_receive			Cliente Recibe     *R Kb/seg
# R = Receive Rate

dialog_profile_title                Profiler
dialog_profile_toggle_glfinish			Activar/Desactivar glFinish
dialog_profile_reset_history			Reiniciar Historial
dialog_profile_min			M�n
dialog_profile_avg			Medio
dialog_profile_max			M�x

dialog_c2s_team_renamed			Se ha cambiado el nombre de *T por *N
# T = Team Name Old, N = Team Name New
dialog_c2s_team_joined_game			*T se ha unido a la partida
# T = Team Name
dialog_c2s_default_name_spectator   Espectador
dialog_c2s_default_name_player      Jugador *T
# T = Team Id

dialog_world_new_spec_connecting			Se est� conectando un nuevo espectador
dialog_world_team_left_game			*T ha abandonado la Partida
# T = Team Name
dialog_world_spec_left_game			El espectador *T ha abandonado la Partida
# T = Team Name
dialog_world_rejoined			*T SE HA VUELTO A UNIR
# T = Team Name
dialog_world_disconnected			*T SE HA DESCONECTADO
# T = Team Name
dialog_world_dropped			*T HA PERDIDO LA CONEXI�N
# T = Team Name
dialog_world_kicked			*T HA SIDO EXPULSADO
# T = Team Name

dialog_mapr_fps			*Ffps
# F = Frame per seconds (fps)
dialog_mapr_city_population			POBLACI�N : *P MILLONES
# P = City Population
dialog_mapr_city_dead			MUERTOS : *D MILLONES
# D = City Dead Population
dialog_mapr_mode			MODO *M
# M = Current State
dialog_mapr_secs			*S SEG.
# S = Seconds
dialog_mapr_empty			VAC�O
dialog_mapr_cancel_all_orders			CANCELAR TODAS LAS �RDENES
dialog_mapr_not_before_defcon_x			NO ANTES DE DEFCON *D
# D = Defcon level
dialog_mapr_defcon_x_required			SE REQUIERE DEFCON *D
# D = Defcon level
dialog_mapr_out_of_range			FUERA DEL ALCANCE
dialog_mapr_combat_range			ALCANCE DE COMBATE
dialog_mapr_fuel_range			ALCANCE DEL COMBUSTIBLE
dialog_mapr_nukes_in_queue			*N EN COLA
# N = Number of Nukes
dialog_mapr_nukes_in_flight			*N EN VUELO
# N = Number of Nukes

dialog_style			Estilo
dialog_style_editor			Editor de Estilo
dialog_style_primary			primario
dialog_style_secondary			secundario
dialog_style_red			Rojo
dialog_style_green			Verde
dialog_style_blue			Azul
dialog_style_alpha			Alfa
dialog_style_colour_editor			Editor de Color *I *P
# I = Real Index, P = Primary (0/1)
dialog_style_failed_load_style			Error al cargar estilo\n
dialog_style_style_saved			Estilo guardado en\n
dialog_style_failed_save_style			Error al guardar estilo en\n
dialog_style_col_primary			Primario
dialog_style_col_secondary			Secundario
dialog_style_col_horiz			Horiz
dialog_style_col_ngtive			Ngtivo
dialog_style_col_caps			Inv.
dialog_style_col_size			Tama�o
dialog_style_col_font			Fuente


# =============================================================================
# Tooltips
# =============================================================================

tooltip_timeaccel0			Pausar el Juego
tooltip_timeaccel1			Avanzar en Tiempo Real
tooltip_timeaccel2			Acelerar el Tiempo\n(5x Tiempo Real)
tooltip_timeaccel3			Acelerar el Tiempo\n(10x Tiempo Real)
tooltip_timeaccel4			Acelerar el Tiempo\n(20x Tiempo Real)

tooltip_worldstatus_x_faster_realtime			*Sx Tiempo Real
# S = Number of time the game speed is faster than Realtime
tooltip_worldstatus_key_shortcut_0			\nTecla r�pida: 0\n
tooltip_worldstatus_key_shortcut_1			\nTecla r�pida: 1\n
tooltip_worldstatus_key_shortcut_2			\nTecla r�pida: 2\n
tooltip_worldstatus_key_shortcut_3			\nTecla r�pida: 3\n
tooltip_worldstatus_key_shortcut_4			\nTecla r�pida: 4\n
tooltip_worldstatus_players_request_speed			Jugadores que solicitan velocidad:
tooltip_worldstatus_no_team_request_speed			\nNinguno
tooltip_worldstatus_cannot_request_speed			No puedes solicitar esta velocidad de juego

tooltip_defcon5			DEFCON 5\nNo se permiten acciones hostiles\nLas unidades enemigas son invisibles al Radar
tooltip_defcon4			DEFCON 4\nLas unidades enemigas se vuelven visibles al Radar
tooltip_defcon3			DEFCON 3\nSe autorizan los combates navales\nSe autorizan los combates a�reos
tooltip_defcon2			DEFCON 2
tooltip_defcon1			DEFCON 1\nSe autoriza el combate nuclear

tooltip_toolbar_whiteboard			Activar/Desactivar Pizarra
tooltip_toolbar_whiteboard_disabled			La pizarra est� deshabilitada debido a la versi�n antigua del anfitri�n
tooltip_toolbar_radar			Activar/Desactivar la Cobertura Radar
tooltip_toolbar_pop			Activar/Desactivar la Densidad de Poblaci�n
tooltip_toolbar_alliances			Mostrar la Ventana de Alianzas
tooltip_toolbar_units			Mostrar el Panel de Unidades
tooltip_toolbar_score			Mostrar la Ventana de Puntuaciones
tooltip_toolbar_comms			Mostrar la Ventana de Comunicaciones
tooltip_toolbar_orders			Mostrar/Ocultar las �rdenes
tooltip_toolbar_info			Mostrar la Ventana de Informaci�n de Unidades
tooltip_toolbar_territory			Mostrar/Ocultar Territorios
tooltip_toolbar_nukes			Mostrar Unidades con Bombas At�micas

tooltip_whiteboard_planning			Activar/Desactivar la utilizaci�n de la pizarra. Pulsa con el bot�n Izquierdo para dibujar, y el Derecho para borrar.
tooltip_whiteboard_eraseall			Borra todo lo que hay dibujado sobre la pizarra.
tooltip_whiteboard_showall			Alterna entre mostrar todas las pizarras de la alianza, o s�lo la tuya.

tooltip_gameoption_servername			Introduce el nombre del Servidor de Juego que deseas que vean los dem�s jugadores
tooltip_gameoption_advertiseoninternet			Si esta opci�n est� habilitada tu partida se anunciar� en el Metaservidor y otros Jugadores de Internet podr�n unirse a ella.
tooltip_gameoption_advertiseonlan			Si esta opci�n est� habilitada otros jugadores de la misma Red de �rea Local podr�n ver la partida.
tooltip_gameoption_maxteams			El n�mero m�ximo de Jugadores que pueden participar en la partida.
tooltip_gameoption_territoriesperteam			El n�mero de Territorios que controlar� cada jugador durante la partida.
tooltip_gameoption_citiesperterritory			El n�mero de Ciudades generadas por cada territorio controlado por un jugador.
tooltip_gameoption_populationperterritory			El n�mero de habitantes (en millones) de cada territorio.\nLa poblaci�n de las ciudades se ajustar� seg�n este dato
tooltip_gameoption_citypopulations			Controla c�mo se distribuye tu poblaci�n entre las Ciudades.\n\n- Por defecto: Las poblaciones de las ciudades est�n basadas en las del mundo real\n\n- Igualadas: Todas las ciudades de un territorio tienen la misma poblaci�n\n\n- Aleatorias: La poblaci�n de cada ciudad es aleatoria, sin embargo se eligen ciudades est�ndar por lo que tus ciudades seguir�n estando en el mismo lugar en cada partida\n\- Totalmente Aleatorias: La poblaci�n de cada ciudad es aleatoria, y adem�s se seleccionar�n ciudades al azar de la base de datos, lo que significa que la posici�n de tus ciudades ser� tambi�n aleatoria
tooltip_gameoption_randomterritories			Si esta opci�n est� habilitada, al comienzo de la partida se les asignar� a los jugadores territorios seleccionados de forma aleatoria.\n\nUna opci�n �til para resolver discusiones sobre qui�n va a ser Europa.
tooltip_gameoption_maxspectators			El n�mero m�ximo de personas que pueden observar la partida.\nAtenci�n: cada espectador reduce el ancho de banda del Servidor.\n\n0=ninguno\n100=sin l�mite.
tooltip_gameoption_spectatorchatchannel			Controla si los Jugadores pueden leer los mensajes de Chat escritos por los Espectadores que observan la partida.  Puede que quieras hacer que el canal de los Espectadores sea Privado para evitar que ayuden a los jugadores.\n\n- P�blico: Todos los jugadores podr�n ver lo que dicen los Espectadores. (por defecto)\n\n- Privado: S�lo los Espectadores podr�n leer los mensajes de su canal.  En este modo no hay posibilidad de que un Jugador y un Espectador se comuniquen.
tooltip_gameoption_teamswitching			Si esta opci�n est� habilitada los jugadores podr�n cambiar de equipo durante la partida utilizando las teclas num�ricas.\n\n�No se recomienda para partidas serias!
tooltip_gameoption_permitdefection			Si esta opci�n est� habilitada los jugadores podr�n cambiar de alianza durante la partida
tooltip_gameoption_radarsharing			Controla en qu� momentos es posible compartir el Radar con otros Jugadores de la partida.\n\n- Siempre apagado: no se permite compartir radar.\n\n- Alianza: Los aliados comparten autom�ticamente su radar. (por defecto)\n\n- Selectivo: Cada jugador puede elegir compartir el Radar con otro jugador (sean o no aliados).\n\n- Siempre encendido: la opci�n de compartir radar est� habilitada para todo el mundo.  Es un modo bastante pr�ctico para los 'principiantes' ya que puedes ver en todo momento las unidades de tus rivales.
tooltip_gameoption_gamespeed			La configuraci�n de la velocidad para esta partida\nMenor Solicitada utiliza la velocidad m�s baja seleccionada por un jugador
tooltip_gameoption_slowestspeed             La velocidad m�s baja a la que puede ir esta partida. Si se elige Pausa, cualquier jugador puede detener la partida utilizando la barra de herramientas de la velocidad.
tooltip_gameoption_enableworldevents			Si esta opci�n est� habilitada tendr�n lugar eventos aleatorios durante la partida
tooltip_gameoption_gamemode			Controla las reglas que rigen el juego
tooltip_gameoption_scoremode			Controla el peso que los muertos causados al enemigo, las bajas propias y las bombas at�micas restantes tienen en la puntuaci�n
tooltip_gameoption_victorytrigger			Determina en qu� momento da comienzo el Temporizador de la Victoria.  Este valor representa el porcentaje del n�mero total de Bombas at�micas del mundo por debajo del cual se iniciar� el Temporizador de la Victoria.\n\nP.ej.: Si se establece en 20 (por defecto), para que comience el Temporizador de la victoria el n�mero total de bombas debe ser inferior al 20% del recuento inicial.
tooltip_gameoption_victorytimer			Una vez que el Temporizador de la Victoria se ha iniciado, pasar� este n�mero de minutos de juego antes de que la partida finalice por completo.
tooltip_gameoption_maxgamerealtime			El tiempo real m�ximo en minutos para la partida.\n\n0 = tiempo real disponible sin l�mites: la partida no concluir� hasta que se complete el Temporizador de la Victoria.
tooltip_gameoption_variableunitcounts			Habilita el Modo de cr�ditos\nCada jugador recibe un n�mero de cr�ditos que debe gastar en sus unidades, y puede personalizar sus fuerzas como desee
tooltip_gameoption_worldscale			NOTA: Experimental.\n\nEsta variable hace que de hecho el mundo sea m�s grande, y por tanto que el juego dure m�s.\n\nCon un valor de 100, la escala del mundo es normal.\n\nEn su valor m�s alto (200) cada equipo dispone del doble de unidades, pero cada una de ellas tiene la mitad de alcance de combate y de radar.\n\nExtremadamente experimental.\nRequiere una CPU potente.\nRecomendamos que deshabilites Mostrar Estelas de Objetos para tener una visi�n m�s clara.
tooltip_gameoption_permitpausing			Si esta opci�n est� habilitada, un jugador puede detener la partida durante el juego
tooltip_gameoption_serverpassword			Configura esta opci�n para limitar el acceso a s�lo aquellas personas que conozcan la contrase�a.\n\nPara que no haya ninguna contrase�a d�jalo en blanco.

tooltip_gamemode_default			Consigue puntos bombardeando las Ciudades de\ntus enemigos. Defcon ir� a la velocidad m�s baja que se haya solicitado.
tooltip_gamemode_office_mode			Defcon se ejecutar� en una Ventana sin Sonido, y funcionar� en Tiempo real durante no m�s de 6 horas. Si aparece el jefe pulsa dos veces Esc para ocultar la Ventana.
tooltip_gamemode_speed_defcon			Defcon se ejecutar� a la velocidad m�xima y\ndurar� no m�s de 15 minutos. La pausa est� deshabilitada. Instintivo y Brutal.
tooltip_gamemode_diplomacy			Todos los jugadores comenzar�n siendo\nmiembros de la alianza Verde con la opci�n de Compartir Radar activada. �Cu�nto durar� la Alianza? Se recomienda que haya tres o m�s Jugadores Humanos.
tooltip_gamemode_bigworld			Todos los jugadores disponen del doble de unidades, pero cada una de ellas es la mitad de grande y tiene la mitad de radar, de alcance del armamento, y de velocidad. Para aquellos\njugadores que disfrutan con las partidas largas.
tooltip_gamemode_tournament			Las reglas por defecto est�n en vigor, excepto que los Espectadores no pueden comunicarse con los Jugadores y a �stos se les asignan Territorios Aleatorios.
tooltip_gamemode_custom			No hay reglas espec�ficas en vigor: todo vale.

tooltip_scoremode_default			Consigues 2 puntos por cada baja que causes en\nel enemigo. Pierdes 1 punto por cada uno de tus habitantes que no seas capaz de proteger.
tooltip_scoremode_survivor			Consigues 1 punto por cada superviviente de tu Territorio.  Todos los equipos comienzan con 100 puntos y este valor s�lo puede reducirse.
tooltip_scoremode_genocide			Consigues 1 punto por cada baja que causes en el enemigo. Simple, pero horrible.

tooltip_defection_no			No se permite el cambio de bando y las Alianzas permanecer�n fijas durante toda la partida.\n\nEst�s autom�ticamente en un estado de Alto el Fuego con tus aliados.
tooltip_defection_yes			Se permite el cambio de bando. T�, o cualquier otro jugador, pod�is decidir cambiar de Alianza en cualquier momento.\n\nEn cualquier situaci�n puedes habilitar o deshabilitar el estado de Alto el Fuego con tus aliados.

tooltip_radarsharing_alwaysoff			No se permite compartir radar.  S�lo ver�s tu propia Cobertura Radar.
tooltip_radarsharing_alliance			La opci�n de Compartir Radar est� habilitada entre los miembros de las Alianzas.  Esto significa que compartir�s autom�ticamente el Radar con todos tus aliados.\n\nNota: Los submarinos aliados no ser�n visibles a menos que salgan a la superficie.
tooltip_radarsharing_selective			La opci�n de Compartir Radar se encuentra en modo Selectivo.  Puedes elegir compartir el Radar (o no) con cualquier otro jugador.
tooltip_radarsharing_alwayson			La opci�n de compartir radar est� habilitada para todo el mundo.  Puedes ver todas las unidades de la partida\n\nNota: NO ver�s los submarinos enemigos a menos que salgan a la superficie.

tooltip_ceasefire_enable			Tus unidades militares dejar�n autom�ticamente de disparar a este equipo. \nSe desactivar�n todos los misiles nucleares se est�n dirigiendo hacia este equipo.
tooltip_ceasefire_disable			Tus unidades militares considerar�n a este equipo como un enemigo, y abrir�n fuego sobre �l autom�ticamente.
tooltip_radarshare_enable			A este equipo se le transmitir� tu Cobertura Radar, y podr�n ver todo lo que t� ves.\nNota: Tus submarinos permanecer�n ocultos mientras contin�en sumergidos.
tooltip_radarshare_disable			Dejar�s de transmitirle a este equipo tu Cobertura Radar.  Ya no podr�n ver lo que t� ves.

tooltip_place_silo			Desplegar Silo
tooltip_place_radar			Desplegar Estaci�n de Radar
tooltip_place_airbase			Desplegar Base A�rea
tooltip_place_battleship			A�adir Acorazado a la Flota
tooltip_place_sub			A�adir Submarino a la Flota
tooltip_place_carrier			A�adir Portaaviones a la Flota
tooltip_place_unit			Desplegar Aqu� la Unidad
tooltip_place_fleet			Desplegar Aqu� la Flota
tooltip_fleet_button			Construir una Flota
tooltip_fleet_remove			Eliminar esta unidad de la Flota
tooltip_fleet_place			Desplegar esta Flota

tooltip_territory_northamerica			Am�rica del Norte
tooltip_territory_southamerica			Am�rica del Sur
tooltip_territory_europe			Europa
tooltip_territory_russia			Rusia
tooltip_territory_southasia			Asia del Sur
tooltip_territory_africa			�frica

tooltip_lobby_teamname			Introduce un nombre para tu Equipo
tooltip_lobby_territories			Selecciona el Territorio de tu equipo
tooltip_lobby_alliance			Selecciona la alianza a la que deseas unirte
tooltip_lobby_requestteam			Crear un equipo para que juegues como
tooltip_lobby_requestai			Crear un equipo controlado por el ordenador
tooltip_lobby_ready			Preparado para Jugar. La partida dar� comienzo cuando todos los jugadores est�n preparados
tooltip_lobby_ready_disable			El nombre de juego no es v�lido
tooltip_lobby_chat			Abrir la ventana de Chat
tooltip_lobby_aggression			Modifica la agresividad del ordenador, siendo 10 el m�ximo\n0 le da al equipo una agresividad aleatoria
tooltip_lobby_demo_max_player			Est�s jugando una Demo, as� que no puedes tener todos estos jugadores en tu partida.
tooltip_lobby_click_open_slot			Pulsa para abrir este espacio y permitir que se unan m�s jugadores
tooltip_lobby_click_close_slot			Pulsa para cerrar este espacio y evitar que se unan otros jugadores
tooltip_lobby_address_port			IP: *I\nPUERTO:*P
# I = IP address, P = Port

tooltip_chat_public			Canal p�blico. Todos los jugadores pueden ver aqu� los mensajes.
tooltip_chat_alliance			Canal de la alianza. S�lo los miembros de tu Alianza pueden ver aqu� los mensajes
tooltip_chat_spectators			Canal de los espectadores. S�lo a los espectadores se les permite escribir aqu�.

tooltip_alliance_join			Enviar un solicitud de uni�n a la alianza
tooltip_alliance_leave			Abandonar esta Alianza
tooltip_alliance_kick			Iniciar una votaci�n para expulsar a este miembro de la alianza

tooltip_vote_yes			Votar S�
tooltip_vote_no			Votar No
tooltip_vote_abstain			Abstenerse de esta votaci�n

tooltip_lmb                         [BIR]
tooltip_rmb                         [BDR]

tooltip_placeobject			[BIR] DESPLEGAR UNIDAD
tooltip_placefleet			[BIR] DESPLEGAR FLOTA
tooltip_invalidplacement			UBICACI�N NO V�LIDA
tooltip_spacetocancel			PULSA ESPACIO PARA CANCELAR

tooltip_selectobject			[BIR] SELECCIONAR UNIDAD
tooltip_selectfleet			[BIR] SELECCIONAR FLOTA
tooltip_setobjectstate			[BDR] CAMBIAR ESTADO DE LA UNIDAD
tooltip_enemyunit			(UNIDAD ENEMIGA)
tooltip_attack			[BIR] ATACAR ESTA UNIDAD
tooltip_moveobject			[BDR] MOVER LA UNIDAD A ESTE PUNTO
tooltip_movefleet			[BDR] MOVER LA FLOTA A ESTE PUNTO
tooltip_cantmovehere			NO SE PUEDE MOVER A ESTE PUNTO
tooltip_spawnfighter			[BIR] ENVIAR CAZA A ESTE PUNTO
tooltip_spawnbomber			[BIR] ENVIAR BOMBARDERO A ESTE PUNTO
tooltip_spawnnuke			[BIR] LANZAR MISIL NUCLEAR SOBRE ESTE PUNTO
tooltip_spacetodeselect			ESPACIO PARA CANCELAR SELECCI�N DE UNIDAD
tooltip_landobject			[BIR] ATERRIZAR AVI�N EN ESTE PUNTO

tooltip_controls_sidescrolling			Te permite mover la C�mara situando el rat�n en los bordes de la pantalla
tooltip_controls_zoomspeed			Ajusta la sensibilidad del zoom mediante rat�n y trackpad
tooltip_controls_camdragging			Te permite arrastrar la C�mara manteniendo pulsado el bot�n central del rat�n
tooltip_controls_keyboardlayout			Te permite cambiar el tipo de entrada

tooltip_close_window			Cerrar la ventana

tooltip_demo_exit_the_game			Salir del juego

tooltip_server_browser_game_time			Tiempo de Juego:
tooltip_server_browser_game_has_ended			\nLa partida ha Finalizado
tooltip_server_browser_game_started			Iniciada
tooltip_server_browser_not_yet_started			A�n No Iniciada
tooltip_server_browser_teams			\nEquipos :
tooltip_server_browser_spectator			\nEspectadores :
tooltip_server_browser_game_mode			\nModo Juego :
tooltip_server_browser_score_mode			\nModo Puntuaci�n :
tooltip_server_browser_mod			\nMOD:
tooltip_server_browser_right_click_details			\n(Pulsa con el bot�n derecho para m�s detalles)


# =============================================================================
# Game Options
# =============================================================================

gameoption_PlayerName               Jugador

gameoption_ServerName			Nombre
gameoption_New_Game_Server			Nuevo Servidor
gameoption_AdvertiseOnInternet			Anunciar en Internet
gameoption_Disabled			Deshabilitado
gameoption_Enabled			Habilitado
gameoption_AdvertiseOnLAN			Anunciar en LAN
gameoption_GameMode			Modo Juego
gameoption_Default			Por defecto
gameoption_Office_Mode			Modo de Oficina
gameoption_Speed_Defcon			Defcon R�pido
gameoption_Diplomacy			Diplomacia
gameoption_BigWorld			Gran Mundo
gameoption_Tournament			Torneo
gameoption_Custom			Personalizado
gameoption_MaxTeams			Equipos M�ximos
gameoption_TerritoriesPerTeam			Territorios Por Equipo
gameoption_CitiesPerTerritory			Ciudades Por Territorio
gameoption_PopulationPerTerritory			Poblaci�n Por Territorio
gameoption_CityPopulations          Poblaci�n en Ciudades
gameoption_Equalised                Igualadas
gameoption_Random                   Aleatorias
gameoption_TotallyRandom            Totalmente Aleatorias
gameoption_RandomTerritories			Territorios Aleatorios
gameoption_PermitDefection			Permitir Defecciones
gameoption_No			No
gameoption_Yes			S�
gameoption_RadarSharing			Compartir Radar
gameoption_AlwaysOff			Siempre Apagado
gameoption_Alliance			Alianza
gameoption_Selective			Selectivo
gameoption_AlwaysOn			Siempre Encendido
gameoption_GameSpeed			Velocidad de Juego
gameoption_Slowest_Requested			Menor Solicitada
gameoption_Pause			Pause
gameoption_Real_Time			Tiempo Real
gameoption_5x_Real_Time			5x Tiempo Real
gameoption_10x_Real_Time			10x Tiempo Real
gameoption_20x_Real_Time			20x Tiempo Real
gameoption_SlowestSpeed			Menor Velocidad
gameoption_ScoreMode			Modo Puntuaci�n
gameoption_Survivor			Superviviente
gameoption_Genocide			Genocidio
gameoption_VictoryTrigger			Inicio de la Victoria
gameoption_VictoryTimer			Temporizador de la Victoria
gameoption_MaxGameRealTime			M�ximo Tiempo Real de Partida
gameoption_VariableUnitCounts			N�mero Variable de Unidades
gameoption_WorldScale			Escala del Mundo
gameoption_MaxSpectators			Espectadores M�ximos
gameoption_SpectatorChatChannel			Chat para Espectadores
gameoption_Private			Privado
gameoption_Public			P�blico
gameoption_TeamSwitching			Cambio de Equipo
gameoption_ServerPassword			Contrase�a del Servidor


# =============================================================================
# Styles
# =============================================================================

style_WindowBackground			Fondo de Ventanas
style_WindowTitleBar			Barra de T�tulo de Ventanas
style_WindowOuterBorder			Borde Exterior de Ventanas
style_WindowInnerBorder			Borde Interior de Ventanas
style_ButtonBackground			Fondo de Bot�n
style_ButtonHighlighted			Bot�n Marcado
style_ButtonClicked			Bot�n Pulsado
style_ButtonBorder			Borde de Bot�n
style_BoxBackground			Fondo de Cuadro
style_BoxBorder			Borde de Cuadro
style_InputBackground			Fondo de Cuadro de Entrada
style_InputBorder			Borde de Cuadro de Entrada
style_FontWindowTitle			Fuente de T�tulo de Ventana
style_FontButton			Fuente de Bot�n
style_WorldCoastlines			L�neas de Costa del Mundo
style_WorldBorders			Fronteras del Mundo
style_WorldWater			Oc�anos del Mundo
style_WorldLand			Continentes del Mundo
style_TooltipBackground			Fondo de Informaci�n sobre Herramientas
style_TooltipBorder			Borde de Informaci�n sobre Herramientas
style_FontTooltip			Fuente de Informaci�n sobre Herramientas
style_PopupBackground			Fondo de Mensajes Emergentes
style_PopupTitleBar			Barra de T�tulo de Mensajes Emergentes
style_PopupBorder			Borde de Mensajes Emergentes
style_PopupHighlight			Mensaje Emergente Marcado
style_PopupSelection			Selecci�n de Mensaje Emergente
style_FontPopupTitle			Fuente de T�tulo de Mensajes Emergentes
style_FontPopup			Fuente de Mensajes Emergentes


# =============================================================================
# Unit names
# =============================================================================

unit_silo			silo
unit_nuke			misil nuclear
unit_city			ciudad
unit_sub			submarino
unit_radar			radar
unit_battleship			acorazado
unit_airbase			base a�rea
unit_fighter			caza
unit_bomber			bombardero
unit_carrier			portaaviones
unit_tornado			tornado
unit_saucer			nave alien�gena
unit_explosion			explosi�n


# =============================================================================
# Unit States
# =============================================================================

state_preparing			PREPAR�NDOSE PARA
state_prepare			PREPARAR PARA
state_ready			LISTO PARA
state_fighterlaunch			ENV�O DE CAZA
state_bomberlaunch			ENV�O DE BOMBARDERO
state_attack			ATACAR
state_flight			VUELO
state_bombernuke			LANZAMIENTO DE SRBM
state_airtoseamissile			COMBATE NAVAL
state_antisub			ANTISUBMARINOS
state_ontarget			SOBRE OBJETIVO
state_disarm			DESACTIVAR
state_radar			RASTREANDO
state_silonuke			LANZAMIENTO DE ICBM
state_airdefense			DEFENSA A�REA
state_passivesonar			S�NAR PASIVO
state_activesonar			S�NAR ACTIVO
state_subnuke			LANZAMIENTO DE MRBM


# =============================================================================
# Game messages
# =============================================================================

message_fuel			Sin Combustible
message_tornadodeath			Tornado Disipado
message_nukelaunch			Lanzamiento Detectado
message_multilaunch			Lanzamientos Detectados
message_firstlaunch			Detectado Lanzamiento de *T
message_incursion			No se permiten las incursiones en territorio Enemigo
message_destroyed			*U destruido
# V = victim team, U = destroyed unit, T = attacking team, A = attacking unit

message_directhit			impacto en *C, *D muertos
message_fallout			lluvia radiactiva sobre *C, *D muertos
# C = city name, D = number of deaths

details_fuel			COMBUSTIBLE

message_victory			VICTORIA DE *T
message_stalemate			NING�N VENCEDOR CLARO
message_spectators_chat_players			Ahora los espectadores pueden hablar con los Jugadores
message_placeunits			TIENES QUE DESPLEGAR TODAS LAS UNIDADES ANTES DE DEFCON 3

message_fleet_move			La Flota No Puede Moverse a Este Punto
message_disarmed			Misil Desactivado

message_alliance_join			*P se une a la alianza *N
message_alliance_kicked			*P expulsado de la alianza *N
message_alliance_leave			*P abandona la alianza *N
# P = player name, N = alliance name

message_invalid_action			NO ANTES DE DEFCON *D
# D = Defcon level

message_ten_minute_warning			AVISO DE DIEZ MINUTOS
message_victory_timer			SE HA INICIADO EL TEMPORIZADOR DE LA VICTORIA

tray_icon_caption			DEFCON
tray_icon_ten_minute_warning			Aviso de Diez Minutos
tray_icon_victory_timer			Se Ha Iniciado el Temporizador de la Victoria
tray_icon_nuke_launches_detected			Detectados Lanzamientos de Misiles
tray_icon_enemy_subs_detected			Detectados Submarinos Enemigos


# =============================================================================
# Combat Attack Odds
# =============================================================================

odds_zero			probabilidades del ataque: nulas
odds_vlow			probabilidades del ataque: muy bajas
odds_low			probabilidades del ataque: bajas
odds_med			probabilidades del ataque: regulares
odds_high			probabilidades del ataque: altas
odds_vhigh			probabilidades del ataque: muy altas


# =============================================================================
# Misc
# =============================================================================

unknown			desconocido

officemode_1			El Modo de Oficina invalidar� la velocidad, la
officemode_2			configuraci�n y las opciones de pantalla seleccionadas.

alien_attack			*C destruida por un Ataque Alien�gena
alien_invasion			�INVASI�N ALIEN�GENA!
tornado_warning			ALERTA DE TORNADO


# =============================================================================
# Tutorial
# =============================================================================

tutorial			Tutorial
levelselect			Selecci�n de Nivel
tutorial_clicknext			Pulsa Siguiente
tutorial_restart_mission			Reiniciar Misi�n
tutorial_missioncomplete			MISI�N COMPLETADA
